language: Portuguese (pt)
countries: Portugal (pt), Brazil (br)

"Noise Floor" = "Nível Mínimo de Ruído"
"Ratio" = "Proporção"
"Attack" = "Ataque"
"Release" = "Lançamento"
"Noise Gate" = "Noise Gate"
"In Gain" = "In Gain"
"In Pan" = "Na panela"
"C" = "C"
"In Pan 1" = "No Pan 1"
"In Pan 2" = "No Pan 2"
"Dry Level" = "Nível Seco"
"Output Level" = "Nível de Saída"
"Default Net Buffer Time" = "Tempo de buffer de rede padrão"
"Send Channels" = "Enviar Canais"
"Metronome Enabled" = "Metrônomo Ativado"
"Send Metronome Audio" = "Enviar Áudio do Metrônomo"
"Metronome Gain" = "Ganho de metrônomo"
"Metronome Tempo" = "Tempo do Metrônomo"
"Send Playback Audio" = "Enviar Reprodução de Áudio"
"Hear Latency Test" = "Ouça o Teste de Latência"
"Record Metronome to File" = "Gravar Metrônomo para Arquivo"
"Main Reverb Enabled" = "Reverberação Principal Ativada"
"Main Reverb Level" = "Nível de Reverberação Principal"
"Main Reverb Size" = "Tamanho da Reverberação Principal"
"Main Reverb Damping" = "Amortecimento de reverberação principal"
"Pre-Delay Time" = "Tempo de pré-atraso"
"Main Reverb Model" = "Modelo de reverberação principal"
"Main Send Mute" = "Silenciar Envio Principal"
"Main Receive Mute" = "Silenciar Recebimento Principal"
"Main In Mute" = "Silenciar em Principal"
"Main Monitor Solo" = "Solo Monitor Principal"
"Def Auto Net Buffer Mode" = "Def Auto Net Buffer Mode"
"Def Send Format" = "Formato de envio de definição"
"Dynamic Resampling" = "Reamostragem Dinâmica"
"Reconnect Last" = "Reconectar por Último"
"Could not find format for filename" = "Não foi possível encontrar o formato do nome do arquivo"
"Error creating writer for " = "Erro ao criar escritor para"
"Error creating output file: " = "Erro ao criar arquivo de saída:"
"Error creating directory for recording: " = "Erro ao criar diretório para gravação:"
"SonoBus" = "SonoBus"
"Pan: Center" = "Pan: Centro"
"Pan: " = "Pan:"
"MUTE" = "MUDO"
"Mutes your input preventing everyone from hearing you, without any indicator" = "Silencia sua entrada evitando que todos possam ouvi-lo, sem qualquer indicador"
"SOLO" = "SÓ"
"Listen to only yourself, and other soloed users. Alt-click to exclusively solo yourself." = "Ouça apenas você mesmo e outros usuários solados. Clique com a tecla Alt apenas para sozinho."
"Silences your Input, none of your audio (including file playback) will be sent to users and they will see a muted indicator" = "Silencia sua entrada, nenhum áudio (incluindo a reprodução de arquivo) será enviado aos usuários e eles verão um indicador de mudo"
"Mutes/Unmutes all users, no audio data will be received when users are muted" = "Desativa / ativa o som de todos os usuários, nenhum dado de áudio será recebido quando os usuários estiverem sem som"
"When pressed, mutes others and unmutes you momentarily (push to talk)." = "Quando pressionado, silencia os outros e ativa você momentaneamente (aperte para falar)."
" Use the \'T\' key as a shortcut." = " Use a tecla \'T\' como um atalho."
"Metronome On/Off" = "Metrônomo Ligado / Desligado"
"Metronome Options" = "Opções de Metrônomo"
"Level" = "Nível"
"Tempo" = "Tempo"
"Send Metronome to All" = "Enviar metrônomo para todos"
"In Level" = "Nível de Entrada"
"This reduces or boosts the level of your own audio input, and it will affect the level of your audio being sent to others and your own monitoring" = "Isso reduz ou aumenta o nível de sua própria entrada de áudio e afetará o nível de seu áudio sendo enviado para outras pessoas e seu próprio monitoramento"
"Monitor" = "Monitor"
"This adjusts the level of the monitoring of your input, that only you hear" = "Isso ajusta o nível de monitoramento de sua entrada, que só você ouve"
"Out Level" = "Nível de Saída"
"This is the main volume control which affects everything you hear" = "Este é o controle de volume principal que afeta tudo que você ouve"
"RECENTS" = "RECENTES"
"PRIVATE GROUP" = "GRUPO PRIVADO"
"PUBLIC GROUPS" = "GRUPOS PÚBLICOS"
"DIRECT" = "DIRETO"
"Local Address:" = "Endereço local:"
"Host: " = "Hospedeiro:"
"Connect directly to other instances of SonoBus on your local network with the local address that they advertise." = "Conecte-se diretamente a outras instâncias do SonoBus em sua rede local com o endereço local que anunciam."
"IPaddress:port" = "Endereço IP: porta"
"Connect..." = "Conectar..."
"Direct Connect" = "Conexão direta"
"Connect to Group" = "Conectar ao grupo"
"optional" = "opcional"
"Your Displayed Name:" = "Seu nome exibido:"
"Password:" = "Senha:"
"Group Name:" = "Nome do Grupo:"
"Connection Server:" = "Servidor de conexão:"
"Generate a random group name" = "Gerar um nome de grupo aleatório"
"Copy connection information to the clipboard to share" = "Copie as informações de conexão para a área de transferência para compartilhar"
"Paste connection information from the clipboard" = "Cole as informações de conexão da área de transferência"
"The connection server is only used to help users find each other, no audio passes through it. All audio is sent directly between users (peer to peer)." = "O servidor de conexão é usado apenas para ajudar os usuários a se encontrarem, nenhum áudio passa por ele. Todo o áudio é enviado diretamente entre os usuários (ponto a ponto)."
"Clear All" = "Limpar Tudo"
"Active Public Groups" = "Grupos Públicos Ativos"
"Select existing group below OR " = "Selecione o grupo existente abaixo OU"
"Create Group..." = "Criar Grupo..."
"enter group name" = "insira o nome do grupo"
"Choose a descriptive group name that includes geographic information and genre" = "Escolha um nome de grupo descritivo que inclua informações geográficas e gênero"
"Patchbay" = "Patchbay"
"Setup Audio" = "Configurar Áudio"
"Press to copy/share link to group" = "Pressione para copiar / compartilhar link para o grupo"
"Connect" = "Conectar"
"Manual" = "Manual"
"Auto Up" = "Auto Up"
"Auto" = "Auto"
"Initial Auto" = "Auto inicial"
"Default Jitter Buffer" = "Configurar Áudio"
"Default Send Quality:" = "Qualidade de Envio Padrão:"
"Make Latency Test Audible" = "Tornar o Teste de Latência Audível"
"Metronome output recorded in full mix" = "Saída de metrônomo gravada em mixagem completa"
"Record feature creates the following files:" = "O recurso de registro cria os seguintes arquivos:"
"Full Mix" = "Mix Completo"
"Full Mix without yourself" = "Mistura completa sem você"
"Yourself" = "Você mesmo"
"Each Connected User" = "Cada Usuário Conectado"
"FLAC" = "FLAC"
"WAV" = "WAV"
"OGG" = "OGG"
"16 bit" = "16 bits"
"24 bit" = "24 bits"
"Audio File Format:" = "Formato de Arquivo de Áudio:"
"Record Location:" = "Localização do Registro:"
"Use Specific UDP Port" = "Use a porta UDP específica"
"Use Drift Correction" = "Use correção de desvio"
"Auto-Reconnect to Last Group" = "Reconectar automaticamente ao último grupo"
"Override Device Sample Rate" = "Substituir taxa de amostra do dispositivo"
"Automatically check for updates" = "Verificar atualizações automaticamente"
"Sliders Snap to Mouse Click" = "Os controles deslizantes se ajustam ao clique do mouse"
"Use Input FX Limiter" = "Use o limitador de entrada de efeitos"
"Change all connected" = "Mudar todos conectados"
"Version: " = "Versão:"
"FX" = "FX"
"In FX" = "Em FX"
"Match # Inputs" = "Match # Inputs"
"Send Mono" = "Enviar Mono"
"Send Stereo" = "Enviar estéreo"
"# Send Channels" = "# Canais de envio"
"Size" = "Tamanho"
"Damping" = "Amortecimento"
"Pre-Delay" = "Pré-Atraso"
"Reverb" = "Ressonância"
"Freeverb" = "Freeverb"
"MVerb" = "MVerb"
"Zita" = "Zita"
"Start/Stop recording audio to file" = "Iniciar / parar a gravação de áudio em arquivo"
"Load audio file for playback" = "Carregar arquivo de áudio para reprodução"
"Send File Playback to All" = "Enviar reprodução de arquivo para todos"
"Filled in Group information from clipboard! Press \'Connect to Group\' to join..." = "Preenchido com informações do grupo da área de transferência Pressione \'Conectar ao Grupo\' para entrar ..."
"Quit Confirmation" = "Confirmação de saída"
"You are connected, are you sure you want to quit?" = "Você está conectado, tem certeza de que deseja sair?"
"Quit" = "Sair"
"Share this link with others to connect with SonoBus:" = "Compartilhe este link com outras pessoas para se conectar com o SonoBus:"
"Or share this link:" = "Ou compartilhe este link:"
"Last Session: " = "Última Sessão:"
"Total: " = "Total:"
"Not sending your audio anywhere" = "Não enviar carregando seu áudio em qualquer lugar"
"Sending your audio to others" = "Enviando seu áudio para outras pessoas"
"Muted everyone" = "Todos silenciados"
"Unmuted all who were not muted previously" = "Reative todos os que não estavam silenciados anteriormente"
"Sending your metronome to all users" = "Enviando seu metrônomo para todos os usuários"
"Now only you will hear your metronome" = "Agora só você vai ouvir o seu metrônomo"
"Sending file playback to all users" = "Enviando a reprodução do arquivo para todos os usuários"
"Now only you will hear the file playback" = "Agora só você vai ouvir a reprodução do arquivo"
"Copied connection info to clipboard for you to share with others" = "Informações de conexão copiadas para a área de transferência para você compartilhar com outras pessoas"
"Copied group connection info to clipboard for you to share with others" = "Informações de conexão de grupo copiadas para a área de transferência para você compartilhar com outras pessoas"
"Finished recording to " = "Gravação terminada para"
"Last recorded file: " = "Último arquivo gravado:"
"Started recording output" = "Saída de gravação iniciada"
"Recording audio to: " = "Gravando áudio para:"
"Recording multi-track audio to: " = "Gravando áudio multitrilha para:"
"Choose an audio file to open..." = "Escolha um arquivo de áudio para abrir ..."
"Choose the folder for new recordings" = "Escolha a pasta para novas gravações"
"Filled in Group from link! Press \'Connect to Group\' to join..." = "Preenchido no Grupo a partir do link! Pressione \'Conectar ao Grupo\' para entrar ..."
"You need to specify a group name!" = "Você precisa especificar um nome de grupo!"
"You need to specify a user name!" = "Você precisa especificar um nome de usuário!"
"Server address is invalid!" = "O endereço do servidor é inválido!"
"All who join the same Group will be able to connect with each other." = "Todos os que ingressam no mesmo Grupo poderão se conectar uns com os outros."
"AUDIO" = "ÁUDIO"
"OPTIONS" = "OPÇÕES"
"HELP" = "AJUDA"
"RECORDING" = "GRAVAÇÃO"
"Using an ASIO audio device type is strongly recommended. If your audio interface did not come with one, please install ASIO4ALL (asio4all.org) and configure it first." = "Usar um tipo de dispositivo de áudio ASIO é altamente recomendado. Se sua interface de áudio não veio com um, instale ASIO4ALL (asio4all.org) e configure-o primeiro."
"Disconnect" = "Desconectar"
"[P] " = "[P]"
"Waiting for other users to join group" = "Esperando que outros usuários entrem no grupo"
"Press Connect button to start." = "Pressione o botão Conectar para iniciar."
"Please use headphones if you are using a microphone!" = "Use fones de ouvido se estiver usando um microfone!"
"Connected to server" = "Conectado ao servidor"
"Already connected with this user name" = "Já conectado com este nome de usuário"
"Connect failed: " = "Falha na conexão:"
"Disconnected from server" = "Desconectado do servidor"
"Disconnect failed: " = "A desconexão falhou:"
"Joined Group: " = "Grupo ingressado:"
"Failed to join group: " = "Falha ao entrar no grupo:"
"Left Group: " = "Deixou o grupo:"
"Failed to leave group: " = "Falha ao sair do grupo:"
"Trim to New" = "Cortar para novo"
"Share File" = "Compartilhar arquivo"
"Reveal File" = "Revelar Arquivo"
"Mute All Input" = "Silenciar todas as entradas"
"Toggle Mute all input" = "Alternar Silenciar todas as entradas"
"Popup" = "Aparecer"
"Mute All Users" = "Silenciar todos os usuários"
